N;execution number;time in nanosecs
10;1;1792
10;2;768
10;3;768
10;4;768
10;5;768
10;6;512
10;7;512
10;8;768
10;9;768
20;1;2560
20;2;2048
20;3;2048
20;4;1792
20;5;1792
20;6;1792
20;7;1792
20;8;1536
20;9;1792
30;1;3584
30;2;2816
30;3;2560
30;4;3072
30;5;2304
30;6;2304
30;7;2560
30;8;2560
30;9;2560
50;1;7424
50;2;5632
50;3;5376
50;4;5632
50;5;5376
50;6;5376
50;7;5632
50;8;5632
50;9;5376
100;1;16128
100;2;14080
100;3;14080
100;4;11008
100;5;8960
100;6;8704
100;7;8704
100;8;8704
100;9;8448
200;1;38912
200;2;29184
200;3;26624
200;4;25856
200;5;35584
200;6;24320
200;7;24320
200;8;23552
200;9;23552
300;1;57088
300;2;46848
300;3;44800
300;4;43776
300;5;42752
300;6;42496
300;7;42240
300;8;41984
300;9;41984
700;1;139008
700;2;129792
700;3;126976
700;4;125440
700;5;125184
700;6;124160
700;7;123904
700;8;123904
700;9;123648
1000;1;205312
1000;2;184064
1000;3;182272
1000;4;180992
1000;5;181504
1000;6;180224
1000;7;179712
1000;8;179712
1000;9;179200
5000;1;1200128
5000;2;1143808
5000;3;1143040
5000;4;1174528
5000;5;1142528
5000;6;1141248
5000;7;1435136
5000;8;1214976
5000;9;1257728
10000;1;2576640
10000;2;2482176
10000;3;2516224
10000;4;2513664
10000;5;2599680
10000;6;2739456
10000;7;2764544
10000;8;2520064
10000;9;2547456
50000;1;15005440
50000;2;15442432
50000;3;14903296
50000;4;14968832
50000;5;18554880
50000;6;15062016
50000;7;14884352
50000;8;14782464
50000;9;14952960
