N;execution number;time in nanosecs
10;1;768
10;2;256
10;3;256
10;4;256
10;5;256
10;6;256
10;7;256
10;8;256
10;9;256
20;1;1024
20;2;768
20;3;512
20;4;512
20;5;512
20;6;768
20;7;512
20;8;768
20;9;512
30;1;1536
30;2;1280
30;3;1536
30;4;1536
30;5;1536
30;6;1792
30;7;1536
30;8;1536
30;9;1792
50;1;3328
50;2;2304
50;3;2816
50;4;2560
50;5;2560
50;6;2560
50;7;2816
50;8;2560
50;9;2560
100;1;12800
100;2;12800
100;3;12288
100;4;12544
100;5;13824
100;6;13056
100;7;13568
100;8;13568
100;9;13056
200;1;41728
200;2;35072
200;3;33024
200;4;32512
200;5;32512
200;6;41216
200;7;30464
200;8;30464
200;9;30208
300;1;79872
300;2;76544
300;3;65536
300;4;65280
300;5;65280
300;6;65792
300;7;65280
300;8;65280
300;9;65280
700;1;388096
700;2;386304
700;3;398080
700;4;362496
700;5;362496
700;6;388864
700;7;362496
700;8;389376
700;9;391936
1000;1;843520
1000;2;819456
1000;3;772352
1000;4;799744
1000;5;782336
1000;6;758272
1000;7;758272
1000;8;978688
1000;9;976896
5000;1;19482368
5000;2;18564352
5000;3;18785792
5000;4;18500352
5000;5;20867840
5000;6;20873216
5000;7;18636288
5000;8;18674688
5000;9;18487296
10000;1;75863040
10000;2;74903552
10000;3;74537728
10000;4;74864128
10000;5;74664960
10000;6;74704128
10000;7;75048960
10000;8;75073792
10000;9;74599680
50000;1;1849811712
50000;2;1844712448
50000;3;1844311296
50000;4;1844237312
50000;5;1842201088
50000;6;1844914176
50000;7;1849862912
50000;8;1841879040
50000;9;1839379200
