N;execution number;time in nanosecs
10;1;4096
10;2;1024
10;3;1024
10;4;768
10;5;1024
10;6;1024
10;7;768
10;8;1024
10;9;768
20;1;2304
20;2;1792
20;3;2048
20;4;2048
20;5;1792
20;6;1792
20;7;1792
20;8;1792
20;9;2304
30;1;4352
30;2;3840
30;3;3072
30;4;2560
30;5;2816
30;6;2816
30;7;2560
30;8;3328
30;9;2816
50;1;7168
50;2;5376
50;3;5376
50;4;4864
50;5;4864
50;6;5376
50;7;5632
50;8;5376
50;9;5376
100;1;14848
100;2;12544
100;3;12032
100;4;11776
100;5;11776
100;6;12800
100;7;10752
100;8;8448
100;9;8448
200;1;24576
200;2;21760
200;3;28160
200;4;39168
200;5;25856
200;6;26112
200;7;26368
200;8;26880
200;9;18432
300;1;55040
300;2;50432
300;3;35584
300;4;34816
300;5;33792
300;6;33536
300;7;33280
300;8;33792
300;9;33024
700;1;114688
700;2;94976
700;3;93184
700;4;92160
700;5;91392
700;6;91392
700;7;90624
700;8;90624
700;9;90368
1000;1;174080
1000;2;141056
1000;3;138240
1000;4;137472
1000;5;136704
1000;6;136192
1000;7;135424
1000;8;146432
1000;9;135936
5000;1;887808
5000;2;832768
5000;3;865280
5000;4;834560
5000;5;829952
5000;6;828416
5000;7;863488
5000;8;882688
5000;9;947456
10000;1;1989376
10000;2;2016256
10000;3;1853952
10000;4;1796352
10000;5;1812224
10000;6;1800192
10000;7;1766144
10000;8;1795072
10000;9;2165504
50000;1;10370304
50000;2;9987840
50000;3;10062336
50000;4;10469376
50000;5;10001920
50000;6;11532544
50000;7;12269312
50000;8;10115840
50000;9;10031616
