N;execution number;time in nanosecs
10;1;768
10;2;256
10;3;256
10;4;256
10;5;256
10;6;256
10;7;256
10;8;256
10;9;256
20;1;1280
20;2;1024
20;3;768
20;4;512
20;5;512
20;6;512
20;7;768
20;8;768
20;9;512
30;1;1792
30;2;1024
30;3;768
30;4;1024
30;5;1024
30;6;1024
30;7;1024
30;8;1024
30;9;1024
50;1;3584
50;2;2304
50;3;2304
50;4;2048
50;5;2048
50;6;2048
50;7;2304
50;8;2048
50;9;1792
100;1;7680
100;2;5632
100;3;4608
100;4;4608
100;5;4352
100;6;4352
100;7;4352
100;8;4352
100;9;4352
200;1;19712
200;2;17408
200;3;16128
200;4;15616
200;5;15104
200;6;14592
200;7;14592
200;8;14336
200;9;14080
300;1;29184
300;2;28160
300;3;26880
300;4;26112
300;5;25600
300;6;25088
300;7;25088
300;8;24576
300;9;24320
700;1;77824
700;2;94720
700;3;76544
700;4;75776
700;5;75520
700;6;75008
700;7;75008
700;8;74496
700;9;74496
1000;1;111872
1000;2;110848
1000;3;110336
1000;4;113664
1000;5;101632
1000;6;101632
1000;7;101888
1000;8;102144
1000;9;101888
5000;1;663808
5000;2;649216
5000;3;646400
5000;4;676096
5000;5;646400
5000;6;644608
5000;7;645120
5000;8;646912
5000;9;645120
10000;1;1528576
10000;2;1476352
10000;3;1499648
10000;4;1474816
10000;5;1494016
10000;6;1561600
10000;7;1713920
10000;8;1710336
10000;9;1727488
50000;1;9198080
50000;2;9149184
50000;3;9272576
50000;4;9523712
50000;5;9159168
50000;6;10268928
50000;7;10969088
50000;8;9710336
50000;9;10150144
